Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
41,No,Non-Travel,1000,Human Resources,5,2,Human Resources,1,2079,3,Male,70,3,2,Human Resources,4,Married,6200,15000,4,Y,No,13,3,3,80,1,12,3,3,8,6,2,6
30,No,Travel_Rarely,750,Sales,8,3,Marketing,1,2080,2,Female,85,3,2,Sales Executive,3,Divorced,5800,14000,1,Y,No,16,3,4,80,1,9,2,3,7,5,1,6
38,No,Travel_Frequently,1150,Research & Development,10,4,Medical,1,2081,4,Male,90,3,2,Manufacturing Director,4,Married,8200,17000,3,Y,No,15,3,3,80,1,11,3,3,8,6,2,7
27,Yes,Travel_Rarely,650,Research & Development,6,2,Life Sciences,1,2082,3,Female,55,2,1,Laboratory Technician,2,Single,2700,9000,1,Y,Yes,12,3,2,80,0,4,2,2,3,2,0,2
46,No,Travel_Rarely,1250,Sales,12,3,Life Sciences,1,2083,4,Male,80,3,3,Sales Executive,4,Married,9500,19000,2,Y,No,14,3,4,80,1,13,3,3,9,7,2,7
34,No,Travel_Frequently,850,Research & Development,9,4,Medical,1,2084,2,Female,65,3,2,Research Scientist,3,Divorced,4500,12000,1,Y,No,13,3,3,80,1,8,3,3,6,4,1,5
42,No,Travel_Rarely,1050,Research & Development,5,3,Life Sciences,1,2085,3,Male,75,3,3,Healthcare Representative,4,Married,8500,18000,4,Y,No,16,3,4,80,1,12,3,3,8,6,2,7
29,No,Travel_Rarely,700,Research & Development,7,2,Medical,1,2086,2,Female,60,2,1,Laboratory Technician,3,Single,3200,11000,1,Y,Yes,12,3,3,80,0,5,2,3,4,3,0,3
55,No,Travel_Rarely,1350,Sales,10,4,Life Sciences,1,2087,4,Male,90,3,3,Sales Executive,4,Married,9500,20000,3,Y,No,15,3,4,80,1,15,3,3,10,8,2,7
31,Yes,Travel_Frequently,900,Research & Development,8,3,Technical Degree,1,2088,1,Female,55,2,1,Research Scientist,2,Single,2900,10000,2,Y,Yes,13,3,2,80,0,6,2,2,4,3,1,3
48,No,Travel_Rarely,1200,Research & Development,12,4,Medical,1,2089,3,Male,80,3,3,Healthcare Representative,4,Married,8500,17000,3,Y,No,16,3,4,80,1,13,3,3,9,7,2,7
36,No,Travel_Frequently,950,Sales,9,3,Marketing,1,2090,2,Female,85,3,2,Sales Executive,3,Divorced,5800,14000,1,Y,No,14,3,3,80,1,9,2,3,7,5,1,6
43,No,Travel_Rarely,1100,Research & Development,5,4,Life Sciences,1,2091,4,Male,75,3,3,Research Director,4,Married,12500,22000,5,Y,No,15,3,4,80,0,20,3,3,15,10,5,8
29,No,Travel_Rarely,800,Research & Development,7,2,Medical,1,2092,2,Female,60,2,1,Laboratory Technician,3,Single,3200,11000,1,Y,Yes,12,3,3,80,0,5,2,3,4,3,0,3
52,No,Travel_Rarely,1300,Sales,10,4,Life Sciences,1,2093,4,Male,90,3,3,Sales Executive,4,Married,9500,20000,3,Y,No,16,3,4,80,1,15,3,3,10,8,2,7
35,Yes,Travel_Frequently,900,Research & Development,8,3,Technical Degree,1,2094,1,Female,55,2,1,Research Scientist,2,Single,2900,10000,2,Y,Yes,13,3,2,80,0,6,2,2,4,3,1,3
41,No,Travel_Rarely,1050,Research & Development,12,4,Medical,1,2095,3,Male,80,3,3,Healthcare Representative,4,Married,8500,17000,3,Y,No,16,3,4,80,1,13,3,3,9,7,2,7
30,No,Travel_Rarely,750,Sales,9,3,Marketing,1,2096,2,Female,85,3,2,Sales Executive,3,Divorced,5800,14000,1,Y,No,14,3,3,80,1,9,2,3,7,5,1,6
38,No,Travel_Frequently,1150,Research & Development,5,4,Life Sciences,1,2097,4,Male,75,3,3,Research Director,4,Married,12500,22000,5,Y,No,15,3,4,80,0,20,3,3,15,10,5,8
27,Yes,Travel_Rarely,650,Research & Development,7,2,Medical,1,2098,3,Female,60,2,1,Laboratory Technician,3,Single,3200,11000,1,Y,Yes,12,3,3,80,0,5,2,3,4,3,0,3
46,No,Travel_Rarely,1250,Sales,10,4,Life Sciences,1,2099,4,Male,90,3,3,Sales Executive,4,Married,9500,20000,3,Y,No,16,3,4,80,1,15,3,3,10,8,2,7
34,No,Travel_Frequently,850,Research & Development,12,3,Technical Degree,1,2100,2,Female,55,2,1,Research Scientist,2,Single,2900,10000,2,Y,Yes,13,3,2,80,0,6,2,2,4,3,1,3
42,No,Travel_Rarely,1100,Research & Development,9,4,Medical,1,2101,3,Male,80,3,3,Healthcare Representative,4,Married,8500,17000,3,Y,No,16,3,4,80,1,13,3,3,9,7,2,7
29,No,Travel_Rarely,700,Research & Development,5,2,Life Sciences,1,2102,2,Female,60,2,1,Laboratory Technician,3,Single,3200,11000,1,Y,Yes,12,3,3,80,0,5,2,3,4,3,0,3
55,No,Travel_Rarely,1350,Sales,7,4,Life Sciences,1,2103,4,Male,90,3,3,Sales Executive,4,Married,9500,20000,3,Y,No,15,3,4,80,1,15,3,3,10,8,2,7
31,Yes,Travel_Frequently,900,Research & Development,10,3,Technical Degree,1,2104,1,Female,55,2,1,Research Scientist,2,Single,2900,10000,2,Y,Yes,13,3,2,80,0,6,2,2,4,3,1,3
48,No,Travel_Rarely,1200,Research & Development,12,4,Medical,1,2105,3,Male,80,3,3,Healthcare Representative,4,Married,8500,17000,3,Y,No,16,3,4,80,1,13,3,3,9,7,2,7
36,No,Travel_Frequently,950,Sales,9,3,Marketing,1,2106,2,Female,85,3,2,Sales Executive,3,Divorced,5800,14000,1,Y,No,14,3,3,80,1,9,2,3,7,5,1,6
43,No,Travel_Rarely,1100,Research & Development,5,4,Life Sciences,1,2107,4,Male,75,3,3,Research Director,4,Married,12500,22000,5,Y,No,15,3,4,80,0,20,3,3,15,10,5,8
29,No,Travel_Rarely,800,Research & Development,7,2,Medical,1,2108,2,Female,60,2,1,Laboratory Technician,3,Single,3200,11000,1,Y,Yes,12,3,3,80,0,5,2,3,4,3,0,3
52,No,Travel_Rarely,1300,Sales,10,4,Life Sciences,1,2109,4,Male,90,3,3,Sales Executive,4,Married,9500,20000,3,Y,No,16,3,4,80,1,15,3,3,10,8,2,7
35,Yes,Travel_Frequently,900,Research & Development,8,3,Technical Degree,1,2110,1,Female,55,2,1,Research Scientist,2,Single,2900,10000,2,Y,Yes,13,3,2,80,0,6,2,2,4,3,1,3
41,No,Travel_Rarely,1050,Research & Development,12,4,Medical,1,2111,3,Male,80,3,3,Healthcare Representative,4,Married,8500,17000,3,Y,No,16,3,4,80,1,13,3,3,9,7,2,7
30,No,Travel_Rarely,750,Sales,9,3,Marketing,1,2112,2,Female,85,3,2,Sales Executive,3,Divorced,5800,14000,1,Y,No,14,3,3,80,1,9,2,3,7,5,1,6
38,No,Travel_Frequently,1150,Research & Development,5,4,Life Sciences,1,2113,4,Male,75,3,3,Research Director,4,Married,12500,22000,5,Y,No,15,3,4,80,0,20,3,3,15,10,5,8
27,Yes,Travel_Rarely,650,Research & Development,7,2,Medical,1,2114,3,Female,60,2,1,Laboratory Technician,3,Single,3200,11000,1,Y,Yes,12,3,3,80,0,5,2,3,4,3,0,3
46,No,Travel_Rarely,1250,Sales,10,4,Life Sciences,1,2115,4,Male,90,3,3,Sales Executive,4,Married,9500,20000,3,Y,No,16,3,4,80,1,15,3,3,10,8,2,7
34,No,Travel_Frequently,850,Research & Development,12,3,Technical Degree,1,2116,2,Female,55,2,1,Research Scientist,2,Single,2900,10000,2,Y,Yes,13,3,2,80,0,6,2,2,4,3,1,3
42,No,Travel_Rarely,1100,Research & Development,9,4,Medical,1,2117,3,Male,80,3,3,Healthcare Representative,4,Married,8500,17000,3,Y,No,16,3,4,80,1,13,3,3,9,7,2,7
29,No,Travel_Rarely,700,Research & Development,5,2,Life Sciences,1,2118,2,Female,60,2,1,Laboratory Technician,3,Single,3200,11000,1,Y,Yes,12,3,3,80,0,5,2,3,4,3,0,3
55,No,Travel_Rarely,1350,Sales,7,4,Life Sciences,1,2119,4,Male,90,3,3,Sales Executive,4,Married,9500,20000,3,Y,No,15,3,4,80,1,15,3,3,10,8,2,7
31,Yes,Travel_Frequently,900,Research & Development,10,3,Technical Degree,1,2120,1,Female,55,2,1,Research Scientist,2,Single,2900,10000,2,Y,Yes,13,3,2,80,0,6,2,2,4,3,1,3
48,No,Travel_Rarely,1200,Research & Development,12,4,Medical,1,2121,3,Male,80,3,3,Healthcare Representative,4,Married,8500,17000,3,Y,No,16,3,4,80,1,13,3,3,9,7,2,7
36,No,Travel_Frequently,950,Sales,9,3,Marketing,1,2122,2,Female,85,3,2,Sales Executive,3,Divorced,5800,14000,1,Y,No,14,3,3,80,1,9,2,3,7,5,1,6
43,No,Travel_Rarely,1100,Research & Development,5,4,Life Sciences,1,2123,4,Male,75,3,3,Research Director,4,Married,12500,22000,5,Y,No,15,3,4,80,0,20,3,3,15,10,5,8
29,No,Travel_Rarely,800,Research & Development,7,2,Medical,1,2124,2,Female,60,2,1,Laboratory Technician,3,Single,3200,11000,1,Y,Yes,12,3,3,80,0,5,2,3,4,3,0,3
52,No,Travel_Rarely,1300,Sales,10,4,Life Sciences,1,2125,4,Male,90,3,3,Sales Executive,4,Married,9500,20000,3,Y,No,16,3,4,80,1,15,3,3,10,8,2,7
35,Yes,Travel_Frequently,900,Research & Development,8,3,Technical Degree,1,2126,1,Female,55,2,1,Research Scientist,2,Single,2900,10000,2,Y,Yes,13,3,2,80,0,6,2,2,4,3,1,3
41,No,Travel_Rarely,1050,Research & Development,12,4,Medical,1,2127,3,Male,80,3,3,Healthcare Representative,4,Married,8500,17000,3,Y,No,16,3,4,80,1,13,3,3,9,7,2,7
30,No,Travel_Rarely,750,Sales,9,3,Marketing,1,2128,2,Female,85,3,2,Sales Executive,3,Divorced,5800,14000,1,Y,No,14,3,3,80,1,9,2,3,7,5,1,6
38,No,Travel_Frequently,1150,Research & Development,5,4,Life Sciences,1,2129,4,Male,75,3,3,Research Director,4,Married,12500,22000,5,Y,No,15,3,4,80,0,20,3,3,15,10,5,8
27,Yes,Travel_Rarely,650,Research & Development,7,2,Medical,1,2130,3,Female,60,2,1,Laboratory Technician,3,Single,3200,11000,1,Y,Yes,12,3,3,80,0,5,2,3,4,3,0,3
46,No,Travel_Rarely,1250,Sales,10,4,Life Sciences,1,2131,4,Male,90,3,3,Sales Executive,4,Marriedtool,1,2131,3,Female,75,3,2,Sales Executive,4,Married,6500,12000,3,Y,No,15,3,3,80,1,12,2,3,8,5,2,6
34,No,Travel_Frequently,850,Research & Development,12,3,Technical Degree,1,2132,2,Female,55,2,1,Research Scientist,2,Single,2900,10000,2,Y,Yes,13,3,2,80,0,6,2,2,4,3,1,3
42,No,Travel_Rarely,1100,Research & Development,9,4,Medical,1,2133,3,Male,80,3,3,Healthcare Representative,4,Married,8500,17000,3,Y,No,16,3,4,80,1,13,3,3,9,7,2,7
29,No,Travel_Rarely,700,Research & Development,5,2,Life Sciences,1,2134,2,Female,60,2,1,Laboratory Technician,3,Single,3200,11000,1,Y,Yes,12,3,3,80,0,5,2,3,4,3,0,3
55,No,Travel_Rarely,1350,Sales,7,4,Life Sciences,1,2135,4,Male,90,3,3,Sales Executive,4,Married,9500,20000,3,Y,No,15,3,4,80,1,15,3,3,10,8,2,7
31,Yes,Travel_Frequently,900,Research & Development,10,3,Technical Degree,1,2136,1,Female,55,2,1,Research Scientist,2,Single,2900,10000,2,Y,Yes,13,3,2,80,0,6,2,2,4,3,1,3
48,No,Travel_Rarely,1200,Research & Development,12,4,Medical,1,2137,3,Male,80,3,3,Healthcare Representative,4,Married,8500,17000,3,Y,No,16,3,4,80,1,13,3,3,9,7,2,7
36,No,Travel_Frequently,950,Sales,9,3,Marketing,1,2138,2,Female,85,3,2,Sales Executive,3,Divorced,5800,14000,1,Y,No,14,3,3,80,1,9,2,3,7,5,1,6
43,No,Travel_Rarely,1100,Research & Development,5,4,Life Sciences,1,2139,4,Male,75,3,3,Research Director,4,Married,12500,22000,5,Y,No,15,3,4,80,0,20,3,3,15,10,5,8
29,No,Travel_Rarely,800,Research & Development,7,2,Medical,1,2140,2,Female,60,2,1,Laboratory Technician,3,Single,3200,11000,1,Y,Yes,12,3,3,80,0,5,2,3,4,3,0,3
52,No,Travel_Rarely,1300,Sales,10,4,Life Sciences,1,2141,4,Male,90,3,3,Sales Executive,4,Married,9500,20000,3,Y,No,16,3,4,80,1,15,3,3,10,8,2,7
35,Yes,Travel_Frequently,900,Research & Development,8,3,Technical Degree,1,2142,1,Female,55,2,1,Research Scientist,2,Single,2900,10000,2,Y,Yes,13,3,2,80,0,6,2,2,4,3,1,3
41,No,Travel_Rarely,1050,Research & Development,12,4,Medical,1,2143,3,Male,80,3,3,Healthcare Representative,4,Married,8500,17000,3,Y,No,16,3,4,80,1,13,3,3,9,7,2,7
30,No,Travel_Rarely,750,Sales,9,3,Marketing,1,2144,2,Female,85,3,2,Sales Executive,3,Divorced,5800,14000,1,Y,No,14,3,3,80,1,9,2,3,7,5,1,6
38,No,Travel_Frequently,1150,Research & Development,5,4,Life Sciences,1,2145,4,Male,75,3,3,Research Director,4,Married,12500,22000,5,Y,No,15,3,4,80,0,20,3,3,15,10,5,8
27,Yes,Travel_Rarely,650,Research & Development,7,2,Medical,1,2146,3,Female,60,2,1,Laboratory Technician,3,Single,3200,11000,1,Y,Yes,12,3,3,80,0,5,2,3,4,3,0,3
46,No,Travel_Rarely,1250,Sales,10,4,Life Sciences,1,2147,4,Male,90,3,3,Sales Executive,4,Married,9500,20000,3,Y,No,16,3,4,80,1,15,3,3,10,8,2,7
34,No,Travel_Frequently,850,Research & Development,12,3,Technical Degree,1,2148,2,Female,55,2,1,Research Scientist,2,Single,2900,10000,2,Y,Yes,13,3,2,80,0,6,2,2,4,3,1,3
42,No,Travel_Rarely,1100,Research & Development,9,4,Medical,1,2149,3,Male,80,3,3,Healthcare Representative,4,Married,8500,17000,3,Y,No,16,3,4,80,1,13,3,3,9,7,2,7
29,No,Travel_Rarely,700,Research & Development,5,2,Life Sciences,1,2150,2,Female,60,2,1,Laboratory Technician,3,Single,3200,11000,1,Y,Yes,12,3,3,80,0,5,2,3,4,3,0,3
55,No,Travel_Rarely,1350,Sales,7,4,Life Sciences,1,2151,4,Male,90,3,3,Sales Executive,4,Married,9500,20000,3,Y,No,15,3,4,80,1,15,3,3,10,8,2,7
31,Yes,Travel_Frequently,900,Research & Development,10,3,Technical Degree,1,2152,1,Female,55,2,1,Research Scientist,2,Single,2900,10000,2,Y,Yes,13,3,2,80,0,6,2,2,4,3,1,3
48,No,Travel_Rarely,1200,Research & Development,12,4,Medical,1,2153,3,Male,80,3,3,Healthcare Representative,4,Married,8500,17000,3,Y,No,16,3,4,80,1,13,3,3,9,7,2,7
36,No,Travel_Frequently,950,Sales,9,3,Marketing,1,2154,2,Female,85,3,2,Sales Executive,3,Divorced,5800,14000,1,Y,No,14,3,3,80,1,9,2,3,7,5,1,6
43,No,Travel_Rarely,1100,Research & Development,5,4,Life Sciences,1,2155,4,Male,75,3,3,Research Director,4,Married,12500,22000,5,Y,No,15,3,4,80,0,20,3,3,15,10,5,8
29,No,Travel_Rarely,800,Research & Development,7,2,Medical,1,2156,2,Female,60,2,1,Laboratory Technician,3,Single,3200,11000,1,Y,Yes,12,3,3,80,0,5,2,3,4,3,0,3
52,No,Travel_Rarely,1300,Sales,10,4,Life Sciences,1,2157,4,Male,90,3,3,Sales Executive,4,Married,9500,20000,3,Y,No,16,3,4,80,1,15,3,3,10,8,2,7
35,Yes,Travel_Frequently,900,Research & Development,8,3,Technical Degree,1,2158,1,Female,55,2,1,Research Scientist,2,Single,2900,10000,2,Y,Yes,13,3,2,80,0,6,2,2,4,3,1,3
41,No,Travel_Rarely,1050,Research & Development,12,4,Medical,1,2159,3,Male,80,3,3,Healthcare Representative,4,Married,8500,17000,3,Y,No,16,3,4,80,1,13,3,3,9,7,2,7
30,No,Travel_Rarely,750,Sales,9,3,Marketing,1,2160,2,Female,85,3,2,Sales Executive,3,Divorced,5800,14000,1,Y,No,14,3,3,80,1,9,2,3,7,5,1,6
38,No,Travel_Frequently,1150,Research & Development,5,4,Life Sciences,1,2161,4,Male,75,3,3,Research Director,4,Married,12500,22000,5,Y,No,15,3,4,80,0,20,3,3,15,10,5,8
27,Yes,Travel_Rarely,650,Research & Development,7,2,Medical,1,2162,3,Female,60,2,1,Laboratory Technician,3,Single,3200,11000,1,Y,Yes,12,3,3,80,0,5,2,3,4,3,0,3
46,No,Travel_Rarely,1250,Sales,10,4,Life Sciences,1,2163,4,Male,90,3,3,Sales Executive,4,Married,9500,20000,3,Y,No,16,3,4,80,1,15,3,3,10,8,2,7
34,No,Travel_Frequently,850,Research & Development,12,3,Technical Degree,1,2164,2,Female,55,2,1,Research Scientist,2,Single,2900,10000,2,Y,Yes,13,3,2,80,0,6,2,2,4,3,1,3
42,No,Travel_Rarely,1100,Research & Development,9,4,Medical,1,2165,3,Male,80,3,3,Healthcare Representative,4,Married,8500,17000,3,Y,No,16,3,4,80,1,13,3,3,9,7,2,7
29,No,Travel_Rarely,700,Research & Development,5,2,Life Sciences,1,2166,2,Female,60,2,1,Laboratory Technician,3,Single,3200,11000,1,Y,Yes,12,3,3,80,0,5,2,3,4,3,0,3
55,No,Travel_Rarely,1350,Sales,7,4,Life Sciences,1,2167,4,Male,90,3,3,Sales Executive,4,Married,9500,20000,3,Y,No,15,3,4,80,1,15,3,3,10,8,2,7
31,Yes,Travel_Frequently,900,Research & Development,10,3,Technical Degree,1,2168,1,Female,55,2,1,Research Scientist,2,Single,2900,10000,2,Y,Yes,13,3,2,80,0,6,2,2,4,3,1,3
48,No,Travel_Rarely,1200,Research & Development,12,4,Medical,1,2169,3,Male,80,3,3,Healthcare Representative,4,Married,8500,17000,3,Y,No,16,3,4,80,1,13,3,3,9,7,2,7
36,No,Travel_Frequently,950,Sales,9,3,Marketing,1,2170,2,Female,85,3,2,Sales Executive,3,Divorced,5800,14000,1,Y,No,14,3,3,80,1,9,2,3,7,5,1,6
43,No,Travel_Rarely,1100,Research & Development,5,4,Life Sciences,1,2171,4,Male,75,3,3,Research Director,4,Married,12500,22000,5,Y,No,15,3,4,80,0,20,3,3,15,10,5,8
29,No,Travel_Rarely,800,Research & Development,7,2,Medical,1,2172,2,Female,60,2,1,Laboratory Technician,3,Single,3200,11000,1,Y,Yes,12,3,3,80,0,5,2,3,4,3,0,3
52,No,Travel_Rarely,1300,Sales,10,4,Life Sciences,1,2173,4,Male,90,3,3,Sales Executive,4,Married,9500,20000,3,Y,No,16,3,4,80,1,15,3,3,10,8,2,7
35,Yes,Travel_Frequently,900,Research & Development,8,3,Technical Degree,1,2174,1,Female,55,2,1,Research Scientist,2,Single,2900,10000,2,Y,Yes,13,3,2,80,0,6,2,2,4,3,1,3
41,No,Travel_Rarely,1050,Research & Development,12,4,Medical,1,2175,3,Male,80,3,3,Healthcare Representative,4,Married,8500,17000,3,Y,No,16,3,4,80,1,13,3,3,9,7,2,7
30,No,Travel_Rarely,750,Sales,9,3,Marketing,1,2176,2,Female,85,3,2,Sales Executive,3,Divorced,5800,14000,1,Y,No,14,3,3,80,1,9,2,3,7,5,1,6
38,No,Travel_Frequently,1150,Research & Development,5,4,Life Sciences,1,2177,4,Male,75,3,3,Research Director,4,Married,12500,22000,5,Y,No,15,3,4,80,0,20,3,3,15,10,5,8
27,Yes,Travel_Rarely,650,Research & Development,7,2,Medical,1,2178,3,Female,60,2,1,Laboratory Technician,3,Single,3200,11000,1,Y,Yes,12,3,3,80,0,5,2,3,4,3,0,3
46,No,Travel_Rarely,1250,Sales,10,4,Life Sciences,1,2179,4,Male,90,3,3,Sales Executive,4,Married,9500,20000,3,Y,No,16,3,4,80,1,15,3,3,10,8,2,7
34,No,Travel_Frequently,850,Research & Development,12,3,Technical Degree,1,2180,2,Female,55,2,1,Research Scientist,2,Single,2900,10000,2,Y,Yes,13,3,2,80,0,6,2,2,4,3,1,3
42,No,Travel_Rarely,1100,Research & Development,9,4,Medical,1,2181,3,Male,80,3,3,Healthcare Representative,4,Married,8500,17000,3,Y,No,16,3,4,80,1,13,3,3,9,7,2,7
29,No,Travel_Rarely,700,Research & Development,5,2,Life Sciences,1,2182,2,Female,60,2,1,Laboratory Technician,3,Single,3200,11000,1,Y,Yes,12,3,3,80,0,5,2,3,4,3,0,3
55,No,Travel_Rarely,1350,Sales,7,4,Life Sciences,1,2183,4,Male,90,3,3,Sales Executive,4,Married,9500,20000,3,Y,No,15,3,4,80,1,15,3,3,10,8,2,7
31,Yes,Travel_Frequently,900,Research & Development,10,3,Technical Degree,1,2184,1,Female,55,2,1,Research Scientist,2,Single,2900,10000,2,Y,Yes,13,3,2,80,0,6,2,2,4,3,1,3
48,No,Travel_Rarely,1200,Research & Development,12,4,Medical,1,2185,3,Male,80,3,3,Healthcare Representative,4,Married,8500,17000,3,Y,No,16,3,4,80,1,13,3,3,9,7,2,7
36,No,Travel_Frequently,950,Sales,9,3,Marketing,1,2186,2,Female,85,3,2,Sales Executive,3,Divorced,5800,14000,1,Y,No,14,3,3,80,1,9,2,3,7,5,1,6
43,No,Travel_Rarely,1100,Research & Development,5,4,Life Sciences,1,2187,4,Male,75,3,3,Research Director,4,Married,12500,22000,5,Y,No,15,3,4,80,0,20,3,3,15,10,5,8
29,No,Travel_Rarely,800,Research & Development,7,2,Medical,1,2188,2,Female,60,2,1,Laboratory Technician,3,Single,3200,11000,1,Y,Yes,12,3,3,80,0,5,2,3,4,3,0,3
52,No,Travel_Rarely,1300,Sales,10,4,Life Sciences,1,2189,4,Male,90,3,3,Sales Executive,4,Married,9500,20000,3,Y,No,16,3,4,80,1,15,3,3,10,8,2,7
35,Yes,Travel_Frequently,900,Research & Development,8,3,Technical Degree,1,2190,1,Female,55,2,1,Research Scientist,2,Single,2900,10000,2,Y,Yes,13,3,2,80,0,6,2,2,4,3,1,3
41,No,Travel_Rarely,1050,Research & Development,12,4,Medical,1,2191,3,Male,80,3,3,Healthcare Representative,4,Married,8500,17000,3,Y,No,16,3,4,80,1,13,3,3,9,7,2,7
30,No,Travel_Rarely,750,Sales,9,3,Marketing,1,2192,2,Female,85,3,2,Sales Executive,3,Divorced,5800,14000,1,Y,No,14,3,3,80,1,9,2,3,7,5,1,6
38,No,Travel_Frequently,1150,Research & Development,5,4,Life Sciences,1,2193,4,Male,75,3,3,Research Director,4,Married,12500,22000,5,Y,No,15,3,4,80,0,20,3,3,15,10,5,8
27,Yes,Travel_Rarely,650,Research & Development,7,2,Medical,1,2194,3,Female,60,2,1,Laboratory Technician,3,Single,3200,11000,1,Y,Yes,12,3,3,80,0,5,2,3,4,3,0,3
46,No,Travel_Rarely,1250,Sales,10,4,Life Sciences,1,2195,4,Male,90,3,3,Sales Executive,4,Married,9500,20000,3,Y,No,16,3,4,80,1,15,3,3,10,8,2,7
34,No,Travel_Frequently,850,Research & Development,12,3,Technical Degree,1,2196,2,Female,55,2,1,Research Scientist,2,Single,2900,10000,2,Y,Yes,13,3,2,80,0,6,2,2,4,3,1,3
42,No,Travel_Rarely,1100,Research & Development,9,4,Medical,1,2197,3,Male,80,3,3,Healthcare Representative,4,Married,8500,17000,3,Y,No,16,3,4,80,1,13,3,3,9,7,2,7
29,No,Travel_Rarely,700,Research & Development,5,2,Life Sciences,1,2198,2,Female,60,2,1,Laboratory Technician,3,Single,3200,11000,1,Y,Yes,12,3,3,80,0,5,2,3,4,3,0,3
55,No,Travel_Rarely,1350,Sales,7,4,Life Sciences,1,2199,4,Male,90,3,3,Sales Executive,4,Married,9500,20000,3,Y,No,15,3,4,80,1,15,3,3,10,8,2,7
31,Yes,Travel_Frequently,900,Research & Development,10,3,Technical Degree,1,2200,1,Female,55,2,1,Research Scientist,2,Single,2900,10000,2,Y,Yes,13,3,2,80,0,6,2,2,4,3,1,3
48,No,Travel_Rarely,1200,Research & Development,12,4,Medical,1,2201,3,Male,80,3,3,Healthcare Representative,4,Married,8500,17000,3,Y,No,16,3,4,80,1,13,3,3,9,7,2,7
36,No,Travel_Frequently,950,Sales,9,3,Marketing,1,2202,2,Female,85,3,2,Sales Executive,3,Divorced,5800,14000,1,Y,No,14,3,3,80,1,9,2,3,7,5,1,6
43,No,Travel_Rarely,1100,Research & Development,5,4,Life Sciences,1,2203,4,Male,75,3,3,Research Director,4,Married,12500,22000,5,Y,No,15,3,4,80,0,20,3,3,15,10,5,8
29,No,Travel_Rarely,800,Research & Development,7,2,Medical,1,2204,2,Female,60,2,1,Laboratory Technician,3,Single,3200,11000,1,Y,Yes,12,3,3,80,0,5,2,3,4,3,0,3
52,No,Travel_Rarely,1300,Sales,10,4,Life Sciences,1,2205,4,Male,90,3,3,Sales Executive,4,Married,9500,20000,3,Y,No,16,3,4,80,1,15,3,3,10,8,2,7
